Name,Address,City,State,Zip Code,Country,Latitude,Longitude,categories
Burger King,7011 Barker Cypress Rd,Cypress,TX,77433,US,29.880809999999997,-95.683922,Fast Food Restaurant and Burger Joint
Jack In The Box,3035 Castro Valley Blvd,Castro Valley,CA,94546,US,37.695437,-122.08173500000001,Fast Food
Arby's,2244 Otay Lakes Rd,Chula Vista,CA,91915,US,32.646857000000004,-116.967527,Fast Food Restaurant
Burger King,962 East Ave,Chico,CA,95926,US,39.76117,-121.84218700000001,Fast food restaurants
In-N-Out Burger,1170 W Branch St,Arroyo Grande,CA,93420,US,35.1273,-120.598,Fast Food Restaurants
Carl's Jr,20900 Roscoe Blvd,Canoga Park,CA,91304,US,34.218957,-118.58903000000001,Fast Food Restaurant
McDonald's,1760 41st Ave,Capitola,CA,95010,US,36.975287,-121.96392900000001,Fast Food Restaurant
Carl's Jr,401 Las Posas Rd,Camarillo,CA,93010,US,34.221478000000005,-119.07024299999999,Fast Food Restaurant
Del Taco,2871 Lenwood Rd,Barstow,CA,92311,US,34.867566,-117.114747,"Fast Food Restaurant, Mexican Restaurant, and Taco Place"
Del Taco,12690 Ramona Blvd,Baldwin Park,CA,91706,US,34.077713,-117.996169,Fast Food Restaurant
McDonald's,562 N Main St,Bishop,CA,93514,US,37.365314,-118.39508000000001,Fast Food Restaurant
McDonald's,1310 E Lamar St,Americus,GA,31709,US,32.07128,-84.216974,Fast Food Restaurants
Burger King,2009 E Greenville St,Anderson,SC,29621,US,34.54701,-82.6319,Fast Food Restaurant
Carl's Jr,2521 W Commonwealth Ave,Alhambra,CA,91803,US,34.088183,-118.15143700000002,Fast Food Restaurant
McDonald's,328 N Main St,Cedartown,GA,30125,US,34.017911,-85.253614,Fast Food Restaurants
Burger King,3025 Main St,Glastonbury,CT,6033,US,41.726353,-72.61760799999999,Fast food restaurants
McDonald's,605 E Broadway St,Campbellsville,KY,42718,US,37.346447,-85.33736800000001,Fast Food Restaurant
SUBWAY,1602 E Broadway St,Campbellsville,KY,42718,US,37.357213,-85.323654,Fast Food Restaurant
Burger King,1475 Holiday Ln,Fairfield,CA,94534,US,38.259527,-122.062146,Fast food restaurants
Dairy Queen,12759 Us Route 60,Ashland,KY,41102,US,38.3887,-82.7156,Fast Food Restaurants
YUM Brands,1439 S US Highway 1,Fort Pierce,FL,34950,US,27.4357,-80.32600000000001,Fast Food Restaurants
Arby's,12915 Cortez Blvd,Brooksville,FL,34613,US,28.534187,-82.516103,"Fast Food Restaurant, American Restaurant, and Sandwich Place"
McDonald's,11671 Se Federal Hwy,Hobe Sound,FL,33455,US,27.06168,-80.13746,Fast Food Restaurant
Culver's,8792 Navarre Pkwy,Navarre,FL,32566,US,30.403771999999996,-86.85506,Burger Joint and Fast Food Restaurant Gulf Breeze
Burger King,825 E 49th St,Hialeah,FL,33013,US,25.867613000000002,-80.266376,Fast food restaurants
YUM Brands,2750 W 68th St Ste 104,Hialeah,FL,33016,US,25.882938,-80.33868000000001,Fast Food
Dairy Queen,36172 Hwy 27,Haines City,FL,33844,US,28.125757,-81.64043000000001,Fast Food
YUM Brands,52 Tuscan Way Ste 208,Saint Augustine,FL,32092,US,29.961740000000002,-81.49109,Fast Food Restaurants
YUM Brands,1232 Providence Blvd,Deltona,FL,32725,US,28.8829,-81.2413,Fast Food Restaurant
McDonald's,2370 US Highway 331 S,DeFuniak Springs,FL,32435,US,30.687820000000002,-86.12318,Fast food restaurants
SONIC Drive-In,1508 US Highway 331 S,DeFuniak Springs,FL,32435,US,30.70032,-86.12317,Fast Food Restaurant
Arby's,9975 Corkscrew Rd,Estero,FL,33928,US,26.432003,-81.789408,"Fast Food Restaurant, Sandwich Place, and American Restaurant"
Chick-Fil-A,519 Brandon Town Center Mall,Brandon,FL,33511,US,27.928096999999998,-82.324836,Fast Food Restaurants
YUM Brands,865 S Main St,Belle Glade,FL,33430,US,26.675109999999997,-80.67,Fast Food Restaurant
McDonald's,339 US Highway 27 S,Avon Park,FL,33825,US,27.596742,-81.494029,Fast Food Restaurant
YUM Brands,1498 US Highway 17 N,Wauchula,FL,33873,US,27.56904,-81.81521,Fast Food Restaurants
Burger King,460 Airways Ave,Savannah,GA,31408,US,32.135603,-81.20824300000001,Fast Food Restaurant
SONIC Drive-In,1510 N Summit St,Arkansas City,KS,67005,US,37.08012,-97.03938000000001,Fast Food Restaurant
McDonald's,2613 Central Ave,Dodge City,KS,67801,US,37.77885,-100.01663,Fast Food Restaurants
Burger King,2501 Se Delaware Ave,Ankeny,IA,50021,US,41.704627,-93.580975,Fast Food Restaurants
Burger King,2501 Se Delaware Ave,Ankeny,IA,50021,US,41.704627,-93.580975,Fast Food Restaurant
Chick-Fil-A,230 S Duff Ave,Ames,IA,50010,US,42.02045,-93.60967,"Fast Food Restaurant, American Restaurant, and Sandwich Place"
Burger King,2817 E 13th St,Ames,IA,50010,US,42.035109999999996,-93.57344,Fast Food Restaurants
Burger King,1020 E 1st St,Ankeny,IA,50021,US,41.732374,-93.582329,Fast Food Restaurant
YUM Brands,2450 S Vista Ave,Boise,ID,83705,US,43.580339,-116.21310600000001,Fast Food Restaurants
Burger King,1807 N Church St,Burlington,NC,27217,US,36.09503,-79.408,Fast food restaurants
Dairy Queen,2535 18th St,Bettendorf,IA,52722,US,41.548648,-90.504798,Fast Food Restaurants
McDonald's,9320 Steele Creek Rd,Charlotte,NC,28273,US,35.16361,-80.96889,Fast Food Restaurant
Burger King,9640 Mariposa Rd,Hesperia,CA,92344,US,34.425812,-117.378018,Fast Food Restaurant
Burger King,17021 Main St,Hesperia,CA,92345,US,34.419638,-117.291579,Fast food restaurants
Del Taco,14485 Inglewood Ave,Hawthorne,CA,90250,US,33.899881,-118.36165700000001,Fast Food Restaurant
Del Taco,18070 Chatsworth St,Granada Hills,CA,91344,US,34.264517,-118.52678200000001,Fast Food Restaurant
Arby's,1200 Forrest Ave,Dover,DE,19904,US,39.158375,-75.550267,Fast Food Restaurant
Arby's,1200 Forrest Ave,Dover,DE,19904,US,39.158375,-75.550267,Fast Food Restaurants
McDonald's,300 Mccarter Rd,Fountain Inn,SC,29644,US,34.685340000000004,-82.19726999999999,Fast Food Restaurants
Burger King,2040 Cumberland St,Lebanon,PA,17042,US,40.33873,-76.447826,Fast Food Restaurant
YUM Brands,609 Naamans Rd,Claymont,DE,19703,US,39.81718,-75.45715,Fast Food Restaurants
YUM Brands,5800 W Chandler Blvd,Chandler,AZ,85226,US,33.30628,-111.94408999999999,Fast Food
McDonald's,1205 Commons Cir,Plover,WI,54467,US,44.49541,-89.51668000000001,Fast Food Restaurants
Arby's,1099 S Blackhawk St,Aurora,CO,80012,US,39.697205,-104.82432299999999,"Restaurant, Fast Food Restaurant, and Sandwich Place"
Arby's,3067 Wilma Rudolph Blvd,Clarksville,TN,37040,US,36.594351,-87.287425,Fast Food Restaurants
Dairy Queen,1635 W State St,Alliance,OH,44601,US,40.901990000000005,-81.12966,Fast Food Restaurants
Burger King,3001 N Reynolds Rd,Bryant,AR,72022,US,34.623419,-92.499052,Fast Food Restaurant
Burger King,2275 E Butler Ave,Flagstaff,AZ,86004,US,35.192109,-111.624197,Fast Food Restaurants
Arby's,1818 6th St,Brookings,SD,57006,US,44.31095,-96.77414,Fast Food Restaurants
Arby's,1818 6th St,Brookings,SD,57006,US,44.31095,-96.77414,"Fast Food Restaurant, Sandwich Place, and American Restaurant"
YUM Brands,3051 W Apache Trl,Apache Junction,AZ,85120,US,33.415079999999996,-111.57883999999999,Fast Food
Burger King,Route 52 Airport Square,Bluefield,WV,24701,US,37.28415,-81.25128000000001,Fast Food Restaurants
YUM Brands,1912 Harper Rd,Beckley,WV,25801,US,37.790326,-81.21054699999999,Fast Food Restaurants
