,date,open,high,low,close,volume,Name
126891,2013-02-08,316.77,321.4899,316.73,320.72,403264,CMG
126892,2013-02-11,320.97,325.64,320.11,323.56,453220,CMG
126893,2013-02-12,322.39,326.99,322.05,322.51,353599,CMG
126894,2013-02-13,321.63,322.475,316.16,317.01,605608,CMG
126895,2013-02-14,316.28,319.08,314.44,317.72,483832,CMG
126896,2013-02-15,319.03,319.03,310.78,314.19,678216,CMG
126897,2013-02-19,314.4,317.58,311.32,313.05,530537,CMG
126898,2013-02-20,312.81,315.09,308.0,309.49,588188,CMG
126899,2013-02-21,307.17,313.73,307.17,308.13,639141,CMG
126900,2013-02-22,310.77,315.71,310.5,315.51,600207,CMG
126901,2013-02-25,316.51,318.32,311.18,311.21,512884,CMG
126902,2013-02-26,312.72,316.66,309.02,311.81,415128,CMG
126903,2013-02-27,312.48,318.71,311.96,316.21,330537,CMG
126904,2013-02-28,315.29,319.88,313.6,316.79,306386,CMG
126905,2013-03-01,316.75,319.82,314.501,319.74,300757,CMG
126906,2013-03-04,318.68,322.43,317.55,321.76,307211,CMG
126907,2013-03-05,323.3,332.49,322.5,329.24,520227,CMG
126908,2013-03-06,331.38,334.89,328.095,329.0,341441,CMG
126909,2013-03-07,331.38,331.38,325.08,327.5,330531,CMG
126910,2013-03-08,328.27,328.8799,320.6301,321.84,477790,CMG
126911,2013-03-11,320.08,327.117,319.39,322.42,363793,CMG
126912,2013-03-12,322.42,323.98,317.0,318.45,306360,CMG
126913,2013-03-13,319.41,322.38,319.33,322.38,358434,CMG
126914,2013-03-14,321.61,324.21,319.53,322.66,298613,CMG
126915,2013-03-15,320.95,323.98,318.54,321.35,310927,CMG
126916,2013-03-18,317.36,321.85,317.25,320.15,184722,CMG
126917,2013-03-19,320.1,324.53,315.5,317.23,408041,CMG
126918,2013-03-20,319.75,323.7,318.25,322.42,298839,CMG
126919,2013-03-21,321.99,322.52,318.33,319.42,425498,CMG
126920,2013-03-22,320.28,320.68,317.44,318.23,283465,CMG
126921,2013-03-25,318.7,321.7,316.04,316.77,315454,CMG
126922,2013-03-26,318.64,320.285,316.35,318.5,313704,CMG
126923,2013-03-27,318.49,320.85,316.34,320.59,215130,CMG
126924,2013-03-28,320.17,325.93,319.02,325.87,387865,CMG
126925,2013-04-01,327.42,328.47,320.0034,321.06,421993,CMG
126926,2013-04-02,321.91,323.6,321.64,323.09,240714,CMG
126927,2013-04-03,327.05,330.0,321.87,323.79,412947,CMG
126928,2013-04-04,323.63,326.34,321.86,323.16,415428,CMG
126929,2013-04-05,318.11,328.78,316.87,328.0,469919,CMG
126930,2013-04-08,327.01,337.92,326.8,337.5,730124,CMG
126931,2013-04-09,337.18,337.22,330.55,332.67,521355,CMG
126932,2013-04-10,334.18,350.0,334.18,343.55,947646,CMG
126933,2013-04-11,340.0,344.24,330.5,331.33,1458320,CMG
126934,2013-04-12,329.77,342.0,327.28,341.91,782502,CMG
126935,2013-04-15,349.0,349.88,337.03,337.17,892040,CMG
126936,2013-04-16,341.03,343.885,337.67,342.17,447834,CMG
126937,2013-04-17,339.59,343.78,337.435,339.94,340166,CMG
126938,2013-04-18,341.5,341.5,328.36,328.36,1010479,CMG
126939,2013-04-19,344.91,366.73,343.31,366.25,2747297,CMG
126940,2013-04-22,367.0,372.99,362.66,362.83,988994,CMG
126941,2013-04-23,363.63,365.75,358.14,361.27,713684,CMG
126942,2013-04-24,358.71,365.65,358.71,362.79,419143,CMG
126943,2013-04-25,363.3,365.86,361.14,362.85,302270,CMG
126944,2013-04-26,362.01,364.22,359.465,361.73,339766,CMG
126945,2013-04-29,362.18,367.0,359.52,363.59,276681,CMG
126946,2013-04-30,365.49,365.5099,360.71,363.19,373852,CMG
126947,2013-05-01,360.95,364.83,358.5,362.18,277869,CMG
126948,2013-05-02,361.68,369.32,361.62,365.2,363073,CMG
126949,2013-05-03,368.25,369.5,365.65,367.35,234034,CMG
126950,2013-05-06,367.45,376.27,367.45,373.98,496850,CMG
126951,2013-05-07,372.57,374.154,359.0,361.09,1009716,CMG
126952,2013-05-08,361.81,366.5,359.09,366.33,525572,CMG
126953,2013-05-09,363.95,372.98,363.65,367.45,834223,CMG
126954,2013-05-10,366.93,371.27,366.04,370.01,326412,CMG
126955,2013-05-13,369.88,370.6,366.12,367.51,241815,CMG
126956,2013-05-14,368.0,376.19,367.99,375.65,496343,CMG
126957,2013-05-15,375.27,378.4,372.81,374.97,485204,CMG
126958,2013-05-16,374.93,375.76,370.65,372.08,384406,CMG
126959,2013-05-17,371.92,375.5,371.92,375.16,288345,CMG
126960,2013-05-20,374.8,379.14,374.46,376.87,302087,CMG
126961,2013-05-21,376.51,378.76,373.78,377.43,281816,CMG
126962,2013-05-22,377.33,379.15,369.7,371.05,349036,CMG
126963,2013-05-23,367.53,370.23,362.8,368.45,378234,CMG
126964,2013-05-24,366.64,369.274,363.55,368.27,270845,CMG
126965,2013-05-28,371.58,374.0,370.12,370.61,400587,CMG
126966,2013-05-29,368.99,371.475,366.23,369.79,201888,CMG
126967,2013-05-30,370.93,373.42,369.22,369.85,195480,CMG
126968,2013-05-31,366.21,370.76,361.0,361.0,321687,CMG
126969,2013-06-03,361.01,363.28,354.53,358.84,472438,CMG
126970,2013-06-04,356.05,363.35,355.05,358.42,425949,CMG
126971,2013-06-05,358.64,359.45,350.66,353.03,288081,CMG
126972,2013-06-06,354.42,359.44,351.68,359.03,230353,CMG
126973,2013-06-07,361.0,365.8,354.25,365.8,560353,CMG
126974,2013-06-10,366.45,369.11,363.54,364.57,355421,CMG
126975,2013-06-11,361.46,367.7,361.46,364.75,248759,CMG
126976,2013-06-12,368.61,368.61,362.34,364.19,388398,CMG
126977,2013-06-13,369.5,372.56,365.44,371.43,309540,CMG
126978,2013-06-14,369.44,372.54,365.25,368.12,304430,CMG
126979,2013-06-17,370.5,372.11,365.0,367.68,257156,CMG
126980,2013-06-18,369.02,372.66,368.79,372.66,267035,CMG
126981,2013-06-19,371.79,372.4999,366.0,366.87,282459,CMG
126982,2013-06-20,363.62,368.14,360.07,360.86,438224,CMG
126983,2013-06-21,363.26,363.26,355.915,361.64,691265,CMG
126984,2013-06-24,357.72,360.75,352.2701,358.16,452487,CMG
126985,2013-06-25,361.06,363.9799,357.06,358.96,295051,CMG
126986,2013-06-26,364.0,365.69,362.27,363.67,346312,CMG
126987,2013-06-27,364.95,366.96,361.19,364.15,336673,CMG
126988,2013-06-28,363.16,368.39,360.99,364.35,461100,CMG
126989,2013-07-01,366.45,369.236,362.3,363.74,354946,CMG
126990,2013-07-02,364.67,371.77,364.67,371.53,444377,CMG
126991,2013-07-03,374.99,386.809,374.75,384.47,691945,CMG
126992,2013-07-05,386.0,386.78,383.01,386.33,379403,CMG
126993,2013-07-08,387.39,388.21,383.92,386.03,345376,CMG
126994,2013-07-09,387.85,389.84,385.67,386.33,294919,CMG
126995,2013-07-10,385.74,385.74,379.88,382.03,378670,CMG
126996,2013-07-11,382.5,386.5,380.5,383.13,282273,CMG
126997,2013-07-12,384.21,387.49,383.285,386.27,340313,CMG
126998,2013-07-15,385.42,386.58,383.14,384.19,337765,CMG
126999,2013-07-16,383.0,383.295,374.44,379.13,559913,CMG
127000,2013-07-17,379.79,379.9735,372.13,375.77,478018,CMG
127001,2013-07-18,375.99,377.4,372.7501,376.75,964048,CMG
127002,2013-07-19,399.05,410.12,395.02,408.97,2270920,CMG
127003,2013-07-22,405.32,407.99,400.8,401.8,577638,CMG
127004,2013-07-23,401.34,404.84,396.49,397.41,392172,CMG
127005,2013-07-24,396.75,402.88800000000003,396.75,400.12,452061,CMG
127006,2013-07-25,400.41,404.72,395.87,404.25,533074,CMG
127007,2013-07-26,402.83,407.69,402.83,405.87,339348,CMG
127008,2013-07-29,404.46,408.35,402.05,404.44,193273,CMG
127009,2013-07-30,406.29,409.74,405.27,407.38,257151,CMG
127010,2013-07-31,407.89,414.9,406.69800000000004,412.27,483125,CMG
127011,2013-08-01,414.9,418.22900000000004,412.631,413.81,278942,CMG
127012,2013-08-02,414.6,414.7375,411.01,412.09,246197,CMG
127013,2013-08-05,411.49,413.02,410.44,412.3,199185,CMG
127014,2013-08-06,411.61,412.89,405.26,405.89,320114,CMG
127015,2013-08-07,404.65,407.89,403.78,404.49,208492,CMG
127016,2013-08-08,404.92,411.28,404.92,407.9,196200,CMG
127017,2013-08-09,405.79,409.25,405.47,405.74,231549,CMG
127018,2013-08-12,403.5,407.57,401.74,402.97,192887,CMG
127019,2013-08-13,401.94,406.974,400.17,406.34,169139,CMG
127020,2013-08-14,405.24,406.19,402.0001,404.64,101183,CMG
127021,2013-08-15,401.94,404.67,397.01,401.48,269422,CMG
127022,2013-08-16,401.33,404.95,400.3404,401.94,171232,CMG
127023,2013-08-19,401.6,407.26,400.37,403.6,172150,CMG
127024,2013-08-20,407.37,412.2,405.66,407.55,273406,CMG
127025,2013-08-21,406.46,407.61,402.3369,403.0,195940,CMG
127026,2013-08-22,405.7,408.85,402.56,407.05,259291,CMG
127027,2013-08-23,403.95,406.16900000000004,401.88,402.79,235024,CMG
127028,2013-08-26,405.0,405.0,401.05,402.09,208859,CMG
127029,2013-08-27,398.53,403.9375,398.0,400.08,271121,CMG
127030,2013-08-28,401.5,408.17,401.5,403.05,271559,CMG
127031,2013-08-29,403.94,409.99,403.94,406.78,314176,CMG
127032,2013-08-30,406.33,408.99,405.51,408.17,276630,CMG
127033,2013-09-03,410.25,412.72900000000004,403.37,404.9,250699,CMG
127034,2013-09-04,406.3,410.37,404.48,409.71,267679,CMG
127035,2013-09-05,409.17,412.34,408.0,408.72,174580,CMG
127036,2013-09-06,408.78,411.77,403.53,408.52,256447,CMG
127037,2013-09-09,408.54,412.68,408.0,411.7,220220,CMG
127038,2013-09-10,413.25,419.0,412.87,418.64,288552,CMG
127039,2013-09-11,416.83,423.49,415.85,423.48,353992,CMG
127040,2013-09-12,420.3,425.0,420.11,421.64,220420,CMG
127041,2013-09-13,423.85,425.5,419.29,425.34,277858,CMG
127042,2013-09-16,427.52,427.52,421.0,423.46,342170,CMG
127043,2013-09-17,424.86,425.8699,421.724,425.41,165046,CMG
127044,2013-09-18,425.4,427.5,423.1,426.23,303086,CMG
127045,2013-09-19,426.75,427.72,421.51,421.7,250066,CMG
127046,2013-09-20,420.93,424.91,414.96,415.08,580849,CMG
127047,2013-09-23,415.35,418.55,412.35,415.24,207953,CMG
127048,2013-09-24,418.42,423.78,415.74,418.76,396556,CMG
127049,2013-09-25,418.74,419.36,415.0,415.59,152767,CMG
127050,2013-09-26,416.25,422.0,415.95,420.34,180237,CMG
127051,2013-09-27,417.99,420.0,417.99,419.0,124064,CMG
127052,2013-09-30,422.64,429.779,422.0,428.80400000000003,469729,CMG
127053,2013-10-01,429.19,431.0,422.04,425.67,309411,CMG
127054,2013-10-02,425.67,427.39,420.2,427.14,227743,CMG
127055,2013-10-03,426.15,428.53,421.01,426.5,440248,CMG
127056,2013-10-04,426.5,434.36,425.86,434.12,335930,CMG
127057,2013-10-07,430.0,434.22,428.91,433.4,523728,CMG
127058,2013-10-08,432.12,434.0,423.39,427.72,635470,CMG
127059,2013-10-09,430.0,432.74800000000005,423.25,428.67,443044,CMG
127060,2013-10-10,432.07,436.95,430.28,435.87,309768,CMG
127061,2013-10-11,439.2,443.93,438.08,443.61,411228,CMG
127062,2013-10-14,441.42,447.65,440.54,442.02,543266,CMG
127063,2013-10-15,441.43,443.6925,432.93,433.61,554302,CMG
127064,2013-10-16,436.57,438.51,434.12,438.07,510824,CMG
127065,2013-10-17,438.6,442.47,438.05,439.07,899904,CMG
127066,2013-10-18,481.05,511.1,477.34,509.74,2438883,CMG
127067,2013-10-21,509.59,512.0,506.5001,509.25,909779,CMG
127068,2013-10-22,509.08,520.72,509.08,520.0,818982,CMG
127069,2013-10-23,515.02,522.5,514.68,520.79,586612,CMG
127070,2013-10-24,521.13,524.54,517.85,522.97,424128,CMG
127071,2013-10-25,522.05,528.0,521.1001,527.5,475044,CMG
127072,2013-10-28,527.0,527.92,522.78,527.85,418602,CMG
127073,2013-10-29,527.99,529.9,523.14,527.93,338195,CMG
127074,2013-10-30,528.95,529.84,522.85,524.35,284808,CMG
127075,2013-10-31,521.44,531.43,521.44,526.97,323049,CMG
127076,2013-11-01,526.78,529.8899,524.9,527.6,367355,CMG
127077,2013-11-04,529.5,536.56,526.58,535.18,364761,CMG
127078,2013-11-05,535.03,543.684,533.21,543.05,412736,CMG
127079,2013-11-06,543.21,546.8,537.76,539.63,469846,CMG
127080,2013-11-07,540.01,540.01,524.67,525.02,652920,CMG
127081,2013-11-08,527.8,536.8,525.49,535.2,428863,CMG
127082,2013-11-11,535.71,537.24,534.0,536.44,164420,CMG
127083,2013-11-12,535.76,537.73,532.0,535.42,226555,CMG
127084,2013-11-13,534.55,538.38,533.11,537.58,216796,CMG
127085,2013-11-14,534.3,544.67,534.3,543.92,255341,CMG
127086,2013-11-15,545.99,549.5,544.88,546.97,309957,CMG
127087,2013-11-18,547.23,550.28,535.1601,537.51,274218,CMG
127088,2013-11-19,539.0,541.81,537.73,538.16,246130,CMG
127089,2013-11-20,536.0,542.51,528.46,531.66,254425,CMG
127090,2013-11-21,534.9,542.0,531.2001,539.22,382072,CMG
127091,2013-11-22,544.0,544.0,536.48,537.48,221078,CMG
127092,2013-11-25,537.55,540.9399,530.88,532.31,201546,CMG
127093,2013-11-26,532.16,532.7715,525.0,525.0,392802,CMG
127094,2013-11-27,526.21,527.08,523.12,525.0,307810,CMG
127095,2013-11-29,525.24,529.72,523.19,523.86,160126,CMG
127096,2013-12-02,521.5,526.6,520.49,524.5,238094,CMG
127097,2013-12-03,523.33,524.994,521.26,522.64,229255,CMG
127098,2013-12-04,520.55,522.63,516.01,518.11,321294,CMG
127099,2013-12-05,518.2,525.0,517.1101,521.01,249089,CMG
127100,2013-12-06,521.0,526.25,519.59,525.81,212234,CMG
127101,2013-12-09,525.71,529.99,525.01,527.32,278166,CMG
127102,2013-12-10,525.92,525.92,520.24,521.53,229887,CMG
127103,2013-12-11,523.31,523.94,516.33,517.57,252939,CMG
127104,2013-12-12,516.32,522.54,514.62,515.02,281035,CMG
127105,2013-12-13,518.51,520.99,511.28,512.85,349309,CMG
127106,2013-12-16,514.7,517.36,511.45,515.38,374186,CMG
127107,2013-12-17,515.79,518.0,509.35,512.64,289242,CMG
127108,2013-12-18,510.05,516.998,506.44,516.89,327278,CMG
127109,2013-12-19,517.0,521.2299,514.0,514.58,321448,CMG
127110,2013-12-20,517.28,533.77,515.86,533.14,861164,CMG
127111,2013-12-23,535.5,537.0,527.94,531.03,350019,CMG
127112,2013-12-24,529.99,534.0,529.99,533.11,104681,CMG
127113,2013-12-26,532.59,535.755,530.44,535.43,210754,CMG
127114,2013-12-27,536.84,536.84,529.65,530.75,238527,CMG
127115,2013-12-30,530.33,534.59,528.01,532.04,263067,CMG
127116,2013-12-31,533.8,534.07,529.51,532.78,197369,CMG
127117,2014-01-02,530.0,532.9599,521.53,523.43,456491,CMG
127118,2014-01-03,524.0,534.01,523.48,531.31,409117,CMG
127119,2014-01-06,534.72,534.72,523.08,527.32,415092,CMG
127120,2014-01-07,528.8,535.6999,526.37,533.06,308930,CMG
127121,2014-01-08,529.5,536.19,528.09,535.85,411296,CMG
127122,2014-01-09,536.95,548.14,536.15,541.03,529808,CMG
127123,2014-01-10,542.08,544.87,536.71,538.57,379229,CMG
127124,2014-01-13,539.71,544.49,526.37,529.8,510359,CMG
127125,2014-01-14,531.98,533.47,526.42,530.28,373165,CMG
127126,2014-01-15,534.0,535.29,529.802,532.25,242968,CMG
127127,2014-01-16,532.87,534.19,527.81,529.51,260387,CMG
127128,2014-01-17,535.64,535.64,526.08,527.61,403712,CMG
127129,2014-01-21,531.71,531.76,523.21,525.57,386552,CMG
127130,2014-01-22,528.53,529.0,513.29,515.95,623274,CMG
127131,2014-01-23,512.8,513.95,498.56,503.45,1062841,CMG
127132,2014-01-24,495.26,502.34,489.5,492.48,893472,CMG
127133,2014-01-27,492.36,497.0,482.70099999999996,489.31,563255,CMG
127134,2014-01-28,491.95,498.78,488.73,491.87,398027,CMG
127135,2014-01-29,490.0,492.0399,480.87,484.5,657769,CMG
127136,2014-01-30,486.96,499.43,485.4,493.96,1282362,CMG
127137,2014-01-31,553.42,568.9,546.1001,551.96,2135276,CMG
127138,2014-02-03,550.21,553.78,535.35,543.2,1071281,CMG
127139,2014-02-04,546.46,546.74,536.46,540.59,556855,CMG
127140,2014-02-05,538.81,544.489,531.0,542.43,498410,CMG
127141,2014-02-06,542.61,554.85,542.05,544.47,449476,CMG
127142,2014-02-07,543.28,550.55,540.06,549.29,495822,CMG
127143,2014-02-10,552.48,552.48,543.0,548.09,344328,CMG
127144,2014-02-11,548.28,551.8,544.02,544.86,411005,CMG
127145,2014-02-12,548.95,551.76,539.61,545.74,485249,CMG
127146,2014-02-13,539.61,561.51,539.0,557.65,532968,CMG
127147,2014-02-14,552.0,558.97,547.0,554.11,329978,CMG
127148,2014-02-18,551.17,556.3915,550.39,552.86,303700,CMG
127149,2014-02-19,553.82,560.85,551.06,552.18,417518,CMG
127150,2014-02-20,551.11,554.95,548.51,550.28,305795,CMG
127151,2014-02-21,551.38,555.2,548.57,549.49,408433,CMG
127152,2014-02-24,550.95,556.6,549.16,554.38,279551,CMG
127153,2014-02-25,557.05,560.44,553.35,554.62,336608,CMG
